UAT_ID,Test Name,Use Case,Preconditions,Instructions,Pass Criteria
UAT_001,Patient registration - successful registration,"A new patient registers for the OmniPal Patient Support Program after being prescribed Omnitrope by their healthcare professional.","- Patient registration feature is available in the application
- The patient has collected their prescription and has access to the product barcode (last 4 digits)
- The email address to be used has not been previously registered","1. Navigate to the OmniPal landing page.
2. Click the ""REGISTER"" button.
3. On the Welcome step, enter the last 4 digits of the product barcode.
4. Check the confirmation checkbox ""I confirm that I have been prescribed Omnitrope (somatropin).""
5. Click ""Next"" to proceed to Patient Details.
6. Enter patient details including first name, last name, NHI number, email address, mobile phone, and password.
7. Click ""Next"" to proceed to Guardian Details.
8. Optionally enter guardian details (first name, last name, email, mobile phone) or leave blank.
9. Click ""Next"" to proceed to Delivery step.
10. Enter the name of person collecting the delivery and contact number.
11. Enter delivery address details (unit number if applicable, street address, city, postcode).
12. Click ""Next"" to proceed to Terms step.
13. Read and accept the privacy consent, terms and conditions, and adverse event contact consent.
14. Click ""Submit"" to complete registration.","- A success message appears: ""Thank you for registering, your account is now active.""
- The patient receives a confirmation email (check spam/junk folder if not in inbox).
- The patient can log in with the registered email and password.
- The patient record is created in the system."
UAT_002,Patient registration - duplicate email error,"A patient attempts to register with an email address that is already registered in the system.","- Patient registration feature is available in the application
- An existing user account already uses the email address that will be entered
- The patient has a valid product barcode","1. Navigate to the OmniPal landing page.
2. Click the ""REGISTER"" button.
3. On the Welcome step, enter the last 4 digits of a valid product barcode.
4. Check the confirmation checkbox ""I confirm that I have been prescribed Omnitrope (somatropin).""
5. Click ""Next"" to proceed to Patient Details.
6. Enter patient details, using an email address that is already registered in the system.
7. Click ""Next"" to attempt to proceed to the next step.","- A validation error message appears indicating the email address cannot be used to register for this program.
- The user is NOT advanced to the Guardian Details step.
- A new patient record is NOT created in the system."
UAT_003,Patient registration - invalid barcode error,"A patient attempts to register with an invalid product barcode.","- Patient registration feature is available in the application","1. Navigate to the OmniPal landing page.
2. Click the ""REGISTER"" button.
3. On the Welcome step, enter an invalid 4-digit barcode (e.g., ""0000"" or ""9999"").
4. Check the confirmation checkbox ""I confirm that I have been prescribed Omnitrope (somatropin).""
5. Click ""Next"" to attempt to proceed.","- An ""Invalid barcode"" error message is displayed.
- The user is NOT advanced to the Patient Details step.
- A patient record is NOT created in the system."
UAT_004,Patient registration - consent checkbox validation,"A patient attempts to proceed with registration without confirming they have been prescribed Omnitrope.","- Patient registration feature is available in the application","1. Navigate to the OmniPal landing page.
2. Click the ""REGISTER"" button.
3. On the Welcome step, enter the last 4 digits of a valid product barcode.
4. Leave the confirmation checkbox unchecked.
5. Click ""Next"" to attempt to proceed.","- A validation error message appears: ""Please confirm to proceed.""
- The user is NOT advanced to the Patient Details step.
- A patient record is NOT created in the system."
UAT_005,Patient registration - cancel registration,"A patient decides to cancel the registration process at any step.","- Patient registration feature is available in the application","1. Navigate to the OmniPal landing page.
2. Click the ""REGISTER"" button.
3. Begin filling out registration details (any step).
4. Click the ""Cancel"" button.","- The user is redirected back to the landing page.
- No patient record is created in the system.
- Any entered data is discarded."
UAT_006,Patient login - successful login,"A registered patient logs in to access the OmniPal Patient Support Program portal.","- The patient has a registered account with valid credentials
- The patient is not currently logged in","1. Navigate to the OmniPal landing page.
2. Click the ""LOGIN"" button.
3. Enter the registered email address and password in the login form.
4. Submit the login form.","- The patient is successfully authenticated.
- The patient is redirected to the Home dashboard.
- The Home dashboard displays the welcome message and available actions (Order SurePal Device, Schedule Training, Watch Video, Resources)."
UAT_007,Patient login - invalid credentials error,"A patient attempts to log in with incorrect credentials.","- The patient has a registered account
- The patient is not currently logged in","1. Navigate to the OmniPal landing page.
2. Click the ""LOGIN"" button.
3. Enter an incorrect email address or password.
4. Submit the login form.","- An error message is displayed indicating invalid credentials.
- The patient is NOT logged in.
- The patient remains on the login page."
UAT_008,Patient forgot password - request reset link,"A patient requests a password reset link because they have forgotten their password.","- The patient has a registered account
- The patient has access to their registered email address","1. Navigate to the OmniPal landing page.
2. Click the ""Click here"" link under ""Forgot your password?""
3. Enter the registered email address in the form.
4. Click ""Submit"" to request the reset link.","- A success message appears: ""Your request to reset your password was processed. Please check your email inbox for the reset password link.""
- A password reset email is sent to the registered email address.
- The ""Back to login"" button is displayed."
UAT_009,Patient reset password - successful password reset,"A patient resets their password using the reset link received via email.","- The patient has requested a password reset link
- The patient has access to the password reset email
- The reset link has not expired","1. Open the password reset email.
2. Click the password reset link in the email.
3. On the reset password page, enter a new password.
4. Confirm the new password.
5. Click ""Submit"" to reset the password.","- A success message appears: ""Your password reset attempt was successful.""
- The patient can log in using the new password.
- The old password no longer works for login."
UAT_010,Patient view home dashboard,"A logged-in patient views the Home dashboard to see available program services.","- The patient is logged in to the OmniPal portal","1. Navigate to or confirm you are on the Home page after login.
2. Review the displayed content and available options.","- The welcome message ""Welcome to the OmniPal Patient Support Program"" is displayed.
- The ""Order SurePal® Device and Consumables"" button is displayed and clickable.
- The ""Schedule an Injection Training Session"" button is displayed and clickable.
- The ""Watch: How to Inject Video"" section with a play button is displayed.
- The Resources section with links to SurePal guides (5mg, 10mg, 15mg) and Consumer Medicine Information is displayed."
